pl_name,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_rade,hostname,st_teff,st_rad,st_mass
"Kepler-1167 b",0.0175000000,0.000000,0.01120000,1.71000000,"Kepler-1167",4971.00,0.750000,0.790000
"Kepler-1740 b",0.0779000000,0.000000,0.03470000,3.32321414,"Kepler-1740",5705.00,0.905000,0.943000
"Kepler-1581 b",0.0686500000,0.000000,0.00137000,0.80000000,"Kepler-1581",6022.00,1.230000,1.120000
"Kepler-644 b",0.0464100000,0.000000,0.03170000,3.15000000,"Kepler-644",6747.00,1.810000,1.490000
"Kepler-1752 b",0.2698000000,0.000000,0.05900000,4.54060463,"Kepler-1752",5446.00,0.821000,0.824000
"Kepler-280 c",0.0560000000,0.000000,0.01480000,2.01000000,"Kepler-280",5744.00,0.886000,0.962000
"Kepler-1208 b",0.0901000000,0.000000,0.01890000,2.32000000,"Kepler-1208",5001.00,0.760000,0.800000
"Kepler-263 c",0.2420000000,0.000000,0.02100000,2.47000000,"Kepler-263",5265.00,0.785000,0.793000
"Kepler-1101 b",0.3483000000,0.000000,0.02100000,2.47000000,"Kepler-1101",5614.00,0.910000,0.940000
"HD 168746 b",0.0700000000,0.110000,0.27000000,11.10000000,"HD 168746",5570.00,1.090000,1.070000
"K2-19 b",0.0740000000,0.200000,0.10194180,7.00000000,"K2-19",5322.00,0.820000,0.880000
"Kepler-560 b",0.0899000000,0.170000,0.01130000,1.72000000,"Kepler-560",3556.00,0.330000,0.340000
"Kepler-150 d",0.1040000000,0.000000,0.02580000,2.79000000,"Kepler-150",5560.00,0.939000,0.956000
"Kepler-498 b",0.0897000000,0.000000,0.02970000,3.03000000,"Kepler-498",5744.00,0.960000,0.980000
"Kepler-817 b",0.0493000000,0.000000,0.18900000,9.03000000,"Kepler-817",5861.00,1.030000,1.030000
"Kepler-937 b",0.3214000000,0.000000,0.04200000,3.72000000,"Kepler-937",6095.00,1.220000,1.150000
"K2-10 b",0.1370000000,0.310000,0.07928807,3.77300000,"K2-10",5533.00,0.956000,0.880000
"Kepler-571 b",0.0546000000,0.000000,0.02350000,2.64000000,"Kepler-571",5527.00,0.900000,0.930000
"Kepler-1458 b",0.2486900000,0.000000,0.02530000,2.76000000,"Kepler-1458",5653.00,0.940000,0.960000
"K2-335 b",,,0.01740000,2.21000000,"K2-335",6222.00,1.330000,1.230000
"Kepler-1600 c",0.0696100000,0.000000,0.01390000,1.94206512,"Kepler-1600",5119.00,0.834000,0.818000
"Kepler-221 d",0.0870000000,0.000000,0.01135833,2.73000000,"Kepler-221",5243.00,0.821000,0.854000
"Kepler-626 b",0.1091300000,0.000000,0.01840000,2.29000000,"Kepler-626",5813.00,1.050000,1.010000
"Kepler-1549 b",0.6687000000,0.000000,0.02240000,2.57000000,"Kepler-1549",5324.00,0.840000,0.880000
"K2-62 c",0.1148000000,,0.01450000,1.99000000,"K2-62",4455.00,0.696000,0.670000
"Kepler-1149 b",0.0473000000,0.000000,0.00839000,1.44000000,"Kepler-1149",5833.00,1.010000,1.020000
"Kepler-1288 b",0.0413500000,0.000000,0.00459000,1.12000000,"Kepler-1288",6132.00,1.290000,1.200000
"Kepler-128 b",0.1254500000,0.000000,0.01192467,1.42100000,"Kepler-128",6072.00,1.659000,1.184000
"Kepler-1245 b",0.0484000000,0.000000,0.00839000,1.44000000,"Kepler-1245",5306.00,0.830000,0.860000
"Kepler-1068 b",0.1303800000,0.000000,0.04030000,3.63000000,"Kepler-1068",5806.00,1.010000,1.010000
"Kepler-311 c",0.1450000000,0.000000,0.00829000,1.43000000,"Kepler-311",5905.00,1.188000,0.994000
"Kepler-150 e",0.1890000000,0.000000,0.03120000,3.12000000,"Kepler-150",5560.00,0.939000,0.956000
"Kepler-272 c",0.0610000000,0.000000,0.30800000,1.79000000,"Kepler-272",5297.00,0.929000,0.910000
"Kepler-152 c",0.3560000000,0.000000,0.01980000,2.39000000,"Kepler-152",5088.00,0.724000,0.779000
"Kepler-1506 b",0.1168000000,0.000000,0.00724000,1.32000000,"Kepler-1506",5676.00,0.930000,0.950000
"CoRoT-3 b",0.0578300000,0.000000,21.66000000,11.32000000,"CoRoT-3",6740.00,1.560000,1.370000
"HD 205739 b",0.8960000000,0.270000,1.37000000,13.60000000,"HD 205739",6176.00,1.330000,1.220000
"NGTS-10 b",0.0143000000,0.000000,2.16200000,13.50684500,"NGTS-10",4600.00,0.697000,0.696000
"HD 224693 b",0.1910000000,0.104000,0.70000000,14.00000000,"HD 224693",5894.00,1.930000,1.310000
"HD 156279 b",0.5020000000,0.647000,9.43200000,12.50000000,"HD 156279",5453.00,0.950000,0.940000
