main_id,ra,dec,sp_type
L  294-112,28.214939350117092,-48.094783711842226,M4.5
LAMOST J003954.49+402737.0,9.97696667484,40.46023338672,M4e
2MASS J09565060+6143562,149.2109128414,61.73219567138,M6V
2MASS J13251318+3815519,201.30492683596998,38.26447076003999,M1V
IRAS 16317-5208,248.9107989122,-52.23797705723,M6e
SCR J0246-7024,41.50943558075,-70.40173873469,M4.5V
LP  831-1,43.66464209967708,-22.266254596889443,M3
SLW J1000+6120A,150.15644050653,61.34453292367001,M1.6
UCAC4 596-003514,21.172985605399166,29.15056284569111,M2
2MASS J09342499+3059271,143.604127,30.990882999999993,M2
2MASS J10022078+6156149,150.58676343336,61.93752902444001,M6V
IRAS 16318-2402,248.71509429857,-24.145018274320005,M1
BD+15  3022,248.52843759170997,15.00286872277,M0
2MASS J02355145+0119584,38.964424903644584,1.332950844062222,M4
SDSS J011755.09+005220.0,19.479545833333333,0.8722361111111112,M5.0/sdM7:
2MASS J11003649+2625114,165.15207999999998,26.419851,M2e
2MASS J05141465+3012325,78.561044,30.20905100000001,M2
2MASS J17133092-2602034,258.37883333333326,-26.034305555555555,M4
2MASS J04112838+3052567,62.86826300000001,30.882444,M2
L   37-56,161.91119049809498,-79.46278807347305,M3V
L  611-67,169.1568038154275,-27.95534454811833,M3.5V
2MASS J07165410+3745232,109.22546922737001,37.75644535252472,M4
L  194-11,187.3939256870604,-55.99362490106001,M4V
L   68-30,190.5818107603204,-71.6389202133989,M3.5V
2MASS J09524062+6126412,148.16916037047,61.444824666440006,M0V
LP  911-56,206.69186150937375,-31.823757066399722,M6
SDSS J020906.18+001535.9,32.27574595520083,0.2600472232775001,M7
UCAC4 513-045396,119.43216753595252,12.597487045675278,M4
PM J14223-7023,215.58114354695874,-70.39361412343666,M5
2MASS J11124654+2431326,168.193955,24.525739999999995,M2
CTI 015115.8+280458,27.993764000000002,28.144106,M3.5V
SDSS J153844.71+340704.9,234.68670918251166,34.118019072926934,M4
L  480-69,234.1436969456587,-37.90637519212861,M4.5V
2MASS J12430809+2622437,190.783718,26.378815000000007,M2
UCAC4 195-119117,235.18140187997787,-51.026656989971386,M7.0V
UCAC4 594-010218,57.93247090574917,28.790002118324452,M2
SDSS J124401.77+120745.9,191.00739761067,12.1294238266,M2V
2MASS J10172760+2850475,154.365024,28.846552,M2e
UCAC4 667-054300,137.3495495,43.3354075,M4
UCAC4 598-047821,155.54008480000002,29.493863399999995,M2
L   46-96,307.0155372675908,-76.67107130139945,M4.5V
PM J20502-3424,312.5673328159029,-34.41183300193334,M5e
V* GN Peg,341.37462170638,13.983854953949999,M7
L  425-35,322.6986362158679,-40.70818162254056,M4V
WT 795,324.10543278869125,-44.01668827459306,M4.5
